"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 14:56:04 CST 2022","Wed Sep 21 14:56:05 CST 2022","116","test_caes","test_001","Test","","","根据 ID 查询编辑商品",""
"passed","Wed Sep 21 14:56:04 CST 2022","Wed Sep 21 14:56:04 CST 2022","25","test_caes","test_001","Test","","","商品列表数据",""
"skipped","Wed Sep 21 14:56:04 CST 2022","Wed Sep 21 14:56:04 CST 2022","0","test_caes","test_001","Test","","","test_001[case0]",""
"passed","Wed Sep 21 14:56:04 CST 2022","Wed Sep 21 14:56:04 CST 2022","118","test_caes","test_001","Test","","","post请求实现登录",""
"passed","Wed Sep 21 14:56:05 CST 2022","Wed Sep 21 14:56:05 CST 2022","18","test_caes","test_001","Test","","","上传多个图片",""
"passed","Wed Sep 21 14:56:04 CST 2022","Wed Sep 21 14:56:04 CST 2022","257","test_caes","test_001","Test","","","添加商品",""
"failed","Wed Sep 21 14:56:04 CST 2022","Wed Sep 21 14:56:04 CST 2022","31","test_caes","test_001","Test","","","根据 ID 查询商品",""
"passed","Wed Sep 21 14:56:05 CST 2022","Wed Sep 21 14:56:05 CST 2022","42","test_caes","test_001","Test","","","上传图片",""
"passed","Wed Sep 21 14:56:04 CST 2022","Wed Sep 21 14:56:04 CST 2022","32","test_caes","test_001","Test","","","根据 ID 查询商品",""
